review_id,k,scale,dl_theta,dl_se,dl_tau2,dl_I2,dl_pi_lo,dl_pi_hi,dl_pi_width,dp_theta,dp_sd,dp_ci_lo,dp_ci_hi,dp_width,dp_n_clusters,dp_bimodal,theta_shift,width_ratio,dp_finds_subgroups
CD000028,21,ratio,-0.2945,0.0629,0,0,-0.4262,-0.1629,0.2633,-0.2911,0.3792,-0.9465,0.4497,1.3962,1,False,0.0034,5.302,False
CD000143,12,ratio,-0.3594,0.2126,0.3053,70.0,-1.6785,0.9598,2.6382,-0.3399,0.6917,-1.729,0.9793,2.7083,3,False,0.0195,1.027,True
CD000219,21,ratio,-0.2367,0.0665,0.0264,35.7,-0.6043,0.1309,0.7352,-0.2257,0.4366,-0.9199,0.6429,1.5628,2,True,0.011,2.126,True
CD000478,13,ratio,-0.3794,0.0823,0,0,-0.5606,-0.1983,0.3623,-0.3446,0.5338,-1.3693,0.6188,1.9881,2,True,0.0349,5.488,True
CD000547,48,ratio,1.0673,0.1718,0.7851,70.7,-0.7496,2.8841,3.6336,0.9324,1.0694,-1.1376,2.7037,3.8413,5,True,0.1349,1.057,True
CD001155,59,ratio,-0.1339,0.0825,0.1319,40.5,-0.8798,0.6119,1.4917,-0.0472,0.7452,-1.5286,1.3727,2.9013,4,False,0.0867,1.945,True
CD001321,27,ratio,-0.3496,0.0906,0.1057,66.2,-1.0447,0.3454,1.39,-0.3529,0.6065,-1.4038,0.6603,2.0641,3,False,0.0033,1.485,True
CD001396,30,ratio,0.8946,0.0937,0.0676,28.4,0.3285,1.4607,1.1322,0.7827,0.5093,-0.2123,1.7546,1.9669,2,False,0.1119,1.737,True
CD001431,61,ratio,-0.023,0.0391,0.0353,64.1,-0.4069,0.3608,0.7678,0.0218,0.4578,-0.7233,1.4026,2.1259,5,True,0.0449,2.769,True
CD001533,21,ratio,-0.0658,0.0742,0.0122,16.1,-0.3443,0.2126,0.5569,-0.1482,0.9681,-2.005,1.7725,3.7775,2,True,0.0824,6.783,True
CD001703,21,ratio,0.824,0.1474,0,0,0.5154,1.1326,0.6172,0.6235,1.0417,-1.3854,2.5777,3.9631,2,False,0.2005,6.421,True
CD001797,5,ratio,0.8166,0.168,0,0,0.2819,1.3514,1.0696,0.6278,0.902,-1.3346,2.1318,3.4664,2,False,0.1889,3.241,True
CD001837,49,ratio,0.2466,0.0417,0.0328,45.7,-0.1275,0.6207,0.7482,0.2091,0.2797,-0.2632,0.8591,1.1223,4,False,0.0375,1.5,True
CD001909,25,ratio,0.5526,0.077,0,0,0.3932,0.712,0.3188,0.5492,0.6773,-0.8141,1.8307,2.6448,2,False,0.0034,8.297,True
CD002042,53,ratio,-0.5324,0.0479,0.1024,96.3,-1.182,0.1172,1.2993,-0.4782,0.4995,-1.9609,0.1708,2.1317,7,True,0.0542,1.641,True
CD002112,21,ratio,0.2866,0.0631,0.0275,42.2,-0.0847,0.658,0.7427,0.2059,0.4511,-0.4941,1.0246,1.5187,2,True,0.0807,2.045,True
CD002115,5,ratio,0.791,0.2529,0.2031,74.8,-0.8535,2.4356,3.2891,0.5685,0.6778,-0.8033,1.7546,2.5579,2,True,0.2226,0.778,True
CD002122,56,ratio,-0.2112,0.1129,0.3445,82.0,-1.4095,0.9871,2.3965,-0.2869,1.0768,-2.5484,2.0341,4.5825,6,False,0.0757,1.912,True
CD002203,50,ratio,-0.1308,0.078,0.104,38.8,-0.7981,0.5364,1.3345,-0.1221,0.6317,-1.2361,1.2563,2.4924,4,True,0.0087,1.868,True
CD002243,180,ratio,-0.099,0.0188,0.0111,25.8,-0.3098,0.1119,0.4217,-0.1465,0.3341,-0.7992,0.4095,1.2087,3,False,0.0475,2.866,True
CD002290,16,ratio,-0.4903,0.1039,0.1187,81.4,-1.2623,0.2817,1.5439,-0.5238,0.5214,-1.5107,0.3023,1.813,4,False,0.0335,1.174,True
CD002303,5,ratio,0.438,0.1032,0.0268,57.2,-0.1782,1.0542,1.2324,0.3244,0.5376,-1.4338,0.9324,2.3663,2,True,0.1136,1.92,True
CD002971,10,ratio,-0.599,0.1976,0.0126,2.9,-1.123,-0.075,1.048,-0.6614,1.0858,-2.5749,1.1692,3.7441,2,False,0.0624,3.573,True
CD003218,5,ratio,0.5303,0.4169,0,0,-0.7963,1.8569,2.6532,0.3077,1.3274,-2.2226,2.6164,4.839,2,True,0.2226,1.824,True
CD003331,35,ratio,-0.0756,0.1349,0,0,-0.3501,0.1989,0.5491,-0.2227,1.2554,-2.57,2.458,5.028,2,False,0.1471,9.157,True
CD003357,7,ratio,0.5704,0.2251,0.2212,66.9,-0.77,1.9109,2.6808,0.4278,0.716,-0.956,1.8127,2.7687,2,False,0.1427,1.033,True
CD003376,15,ratio,-0.277,0.2182,0,0,-0.7483,0.1943,0.9426,-0.2131,1.3093,-3.0678,2.1226,5.1903,3,False,0.064,5.506,True
CD003414,16,ratio,-0.0898,0.0922,0,0,-0.2876,0.108,0.3956,-0.0611,0.502,-0.9134,1.0189,1.9323,2,False,0.0287,4.885,True
CD003429,6,ratio,0.5499,0.383,0,0,-0.5134,1.6132,2.1266,0.6259,1.4682,-2.1678,3.458,5.6258,2,True,0.076,2.645,True
CD003477,11,difference,-0.0477,0.1125,0.0427,31.6,-0.5801,0.4847,1.0648,-0.0217,0.4561,-0.8603,0.8242,1.6845,2,False,0.0259,1.582,True
CD003511,8,ratio,-0.0984,0.0868,0,0,-0.3108,0.1139,0.4247,-0.1352,0.6403,-1.2855,1.1078,2.3932,2,True,0.0368,5.635,True
CD003519,15,ratio,0.209,0.0628,0.0166,35.4,-0.1005,0.5184,0.6188,0.2061,0.395,-0.5769,0.8412,1.4181,2,True,0.0029,2.292,True
CD003594,11,ratio,-0.6409,0.4045,0.7249,45.7,-2.7733,1.4914,4.2647,-0.6394,1.2203,-3.2381,1.3158,4.554,3,False,0.0015,1.068,True
CD003598,21,ratio,-0.1686,0.059,0,0,-0.2922,-0.0451,0.2471,-0.2259,0.8223,-1.7743,1.5064,3.2807,2,False,0.0573,13.275,True
CD003743,6,ratio,-0.998,0.2802,0,0,-1.7759,-0.2201,1.5557,-0.7326,0.9362,-2.4767,0.9965,3.4732,2,False,0.2654,2.232,True
CD003774,42,ratio,-0.8892,0.0756,0,0,-1.042,-0.7364,0.3056,-0.8916,0.6048,-2.0357,0.4023,2.438,2,False,0.0024,7.979,True
CD003962,6,ratio,-0.2292,0.1693,0.0002,0.1,-0.7008,0.2425,0.9433,-0.0174,1.1094,-2.0071,1.9872,3.9943,2,False,0.2118,4.234,True
CD004184,7,ratio,-0.1096,0.1479,0.0397,35.9,-0.7472,0.5281,1.2753,-0.172,0.9301,-2.0637,1.4963,3.56,2,True,0.0624,2.792,True
CD004307,42,ratio,0.4196,0.0697,0.0343,22.5,0.0197,0.8194,0.7997,0.3655,0.6564,-0.9303,1.8742,2.8045,3,True,0.0541,3.507,True
CD004376,104,ratio,-0.0254,0.0465,0,0,-0.1176,0.0668,0.1844,-0.0839,0.6696,-1.3782,1.1335,2.5116,3,False,0.0585,13.618,True
CD004406,6,ratio,0.1083,0.0995,0,0,-0.168,0.3846,0.5526,0.1167,0.4088,-0.7346,1.0336,1.7682,1,True,0.0085,3.2,False
CD004417,17,ratio,-3.5277,0.2735,0.9622,84.2,-5.6982,-1.3572,4.341,-3.1575,1.0823,-4.4348,-0.6406,3.7942,2,True,0.3702,0.874,True
CD004508,6,ratio,-0.062,0.1789,0.1183,66.6,-1.1385,1.0146,2.1531,-0.0476,0.5256,-0.8746,1.1265,2.0012,2,True,0.0144,0.929,True
CD004661,12,ratio,-0.0422,0.0669,0,0,-0.1914,0.1069,0.2983,-0.0758,0.4246,-1.1514,0.5772,1.7286,2,True,0.0336,5.795,True
CD004667,16,ratio,-0.0926,0.0437,0.0071,25.1,-0.2959,0.1107,0.4066,-0.1225,0.2664,-0.5463,0.3263,0.8726,2,True,0.0299,2.146,True
CD004736,14,ratio,-1.1842,0.2223,0.3747,82.3,-2.6032,0.2348,2.838,-1.032,0.923,-2.6092,0.7651,3.3743,3,False,0.1522,1.189,True
CD004762,5,difference,-0.326,0.1132,0.036,79.3,-1.0291,0.377,1.406,-0.409,0.5347,-1.7182,0.4875,2.2057,3,True,0.0829,1.569,True
CD004871,5,ratio,-0.4359,0.1545,0.0768,66.6,-1.4458,0.574,2.0198,-0.3415,0.5029,-1.4177,1.1298,2.5476,2,True,0.0945,1.261,True
CD004925,31,ratio,-1.0626,0.1747,0,0,-1.4199,-0.7053,0.7146,-1.0345,1.5354,-4.101,1.81,5.9111,2,False,0.0281,8.271,True
CD004953,11,ratio,0.0023,0.1459,0.0631,32.7,-0.655,0.6596,1.3146,-0.0287,0.6641,-1.4258,1.2215,2.6473,3,True,0.031,2.014,True
CD005133,39,ratio,-0.1025,0.0517,0.0067,7.4,-0.299,0.094,0.393,-0.176,0.4554,-0.9972,0.7929,1.7901,2,False,0.0735,4.555,True
CD005187,5,ratio,-0.3654,0.0712,0.0045,17.5,-0.6771,-0.0536,0.6235,-0.3411,0.3931,-1.139,0.5234,1.6623,1,True,0.0243,2.666,False
CD005343,31,ratio,-0.5631,0.1338,0.1491,57.0,-1.3989,0.2727,1.6716,-0.5834,1.2693,-3.0466,2.044,5.0905,3,False,0.0203,3.045,True
CD005495,9,ratio,-0.1267,0.2051,0,0,-0.6117,0.3584,0.9701,-0.1401,0.9057,-1.9203,1.4398,3.3601,2,False,0.0135,3.464,True
CD005566,28,ratio,-0.1776,0.0463,0,0,-0.2727,-0.0825,0.1902,-0.1405,0.9589,-1.8772,1.8276,3.7049,3,False,0.0371,19.477,True
CD005595,32,ratio,0.2041,0.146,0,0,-0.0942,0.5023,0.5965,0.0463,1.5285,-2.6054,3.2952,5.9006,2,False,0.1577,9.892,True
CD005951,7,ratio,-0.2514,0.1676,0.0579,34.4,-1.005,0.5022,1.5072,-0.2058,0.6172,-1.3411,0.9001,2.2412,2,True,0.0456,1.487,True
CD006023,18,ratio,-1.2207,0.1914,0.2555,49.5,-2.3664,-0.0749,2.2916,-1.1558,0.9511,-2.9847,0.8378,3.8225,3,False,0.0648,1.668,True
CD006124,6,ratio,0.0204,0.3128,0.4487,80.4,-2.0321,2.073,4.105,0.0463,0.7797,-1.4488,1.477,2.9258,3,False,0.0258,0.713,True
CD006140,8,ratio,-0.2352,0.0671,0.0204,85.4,-0.6212,0.1507,0.7719,-0.2543,0.4261,-1.0794,0.4469,1.5263,3,True,0.0191,1.977,True
CD006185,78,ratio,0.5409,0.0913,0.1663,28.7,-0.2915,1.3733,1.6648,0.5071,0.912,-1.0851,2.3184,3.4035,5,False,0.0338,2.044,True
CD006257,9,ratio,-0.0901,0.118,0.0216,22.6,-0.5355,0.3553,0.8908,-0.137,1.4296,-2.7315,2.6392,5.3707,3,False,0.0469,6.029,True
CD006404,112,ratio,-0.0351,0.0443,0.0422,27.5,-0.4515,0.3812,0.8328,-0.0187,0.6852,-1.2034,1.2541,2.4575,4,False,0.0165,2.951,True
CD006475,27,ratio,-0.1499,0.062,0.0271,32.4,-0.5123,0.2125,0.7248,-0.1597,0.4087,-0.8816,0.5421,1.4236,2,True,0.0098,1.964,True
CD006515,5,ratio,0.2932,0.5611,0,0,-1.4924,2.0789,3.5713,0.0324,1.7764,-3.4317,3.2214,6.6531,2,False,0.2609,1.863,True
CD006536,43,ratio,-0.1616,0.1652,0,0,-0.4952,0.172,0.6672,-0.0466,1.5498,-2.9105,3.0648,5.9753,4,False,0.115,8.955,True
CD006632,23,difference,-1.1693,0.2394,0.4923,62.5,-2.711,0.3724,3.0834,-1.0394,1.2324,-3.5834,1.308,4.8914,3,True,0.1299,1.586,True
CD006689,5,ratio,-0.4712,0.2194,0,0,-1.1694,0.227,1.3965,-0.2898,0.727,-1.7347,1.0077,2.7424,2,True,0.1814,1.964,True
CD006913,29,ratio,-0.0594,0.0232,0.0073,70.7,-0.2406,0.1218,0.3624,-0.052,0.1884,-0.448,0.1921,0.6401,3,True,0.0074,1.766,True
CD006919,19,ratio,0.4066,0.1588,0.12,26.8,-0.3975,1.2107,1.6082,0.3371,0.8168,-1.2327,1.736,2.9687,3,True,0.0695,1.846,True
CD007024,18,ratio,0.1389,0.0754,0,0,-0.0209,0.2987,0.3196,0.1149,0.4899,-0.7834,0.8372,1.6206,2,True,0.024,5.07,True
CD007026,7,ratio,-0.0555,0.1973,0,0,-0.5626,0.4517,1.0143,-0.1026,0.8239,-1.7283,1.5559,3.2842,1,False,0.0471,3.238,False
CD007079,10,ratio,-0.224,0.1078,0.0426,55.9,-0.7613,0.3132,1.0745,-0.2883,0.5493,-1.3565,0.7189,2.0754,3,False,0.0643,1.932,True
CD007130,26,ratio,0.0349,0.0205,0.0035,47.5,-0.095,0.1647,0.2597,0.0597,0.1775,-0.1696,0.4461,0.6157,2,True,0.0248,2.37,True
CD007310,7,ratio,0.292,0.454,0,0,-0.8751,1.4591,2.3342,0.151,1.5725,-2.962,3.0434,6.0054,2,False,0.141,2.573,True
CD007374,6,ratio,-0.1778,0.381,0,0,-1.2357,0.8801,2.1158,-0.0759,1.04,-1.9461,1.8484,3.7944,2,True,0.102,1.793,True
CD007491,8,ratio,0.0489,0.1335,0.0507,41.2,-0.5916,0.6895,1.2812,0.0788,0.4848,-1.1586,0.9183,2.0769,2,False,0.0298,1.621,True
CD007569,6,ratio,0.0815,0.062,0.0031,11.9,-0.1498,0.3128,0.4625,0.0494,0.4366,-1.4014,1.0859,2.4872,1,True,0.0321,5.377,False
CD007572,10,ratio,-0.1549,0.0364,0.0075,64.5,-0.3717,0.0619,0.4336,-0.1612,0.3603,-0.7565,0.3827,1.1392,2,True,0.0062,2.627,True
CD007639,5,ratio,-0.0323,0.2301,0.1657,69.4,-1.5204,1.4558,2.9762,-0.0557,0.5775,-1.064,0.8815,1.9455,2,True,0.0234,0.654,True
CD007674,28,ratio,0.3916,0.1161,0.2472,78.7,-0.6578,1.4411,2.0989,0.3767,0.5898,-0.8958,1.3478,2.2437,5,False,0.0149,1.069,True
CD007784,13,ratio,-0.3303,0.045,0.0072,38.9,-0.5412,-0.1193,0.4219,-0.2946,0.3172,-1.0847,0.2085,1.2933,2,False,0.0356,3.065,True
CD007896,35,ratio,0.8428,0.1222,0,0,0.5942,1.0915,0.4973,0.5396,1.0241,-1.4619,2.5065,3.9684,3,True,0.3032,7.98,True
CD008063,50,difference,0.1791,0.029,0.0129,35.2,-0.0562,0.4143,0.4706,0.1708,0.3105,-0.2002,1.0259,1.2262,3,True,0.0083,2.606,True
CD008145,6,ratio,0.3092,0.0871,0.0359,89.4,-0.2702,0.8885,1.1587,0.2667,0.4336,-1.0497,1.1437,2.1933,2,True,0.0425,1.893,True
CD008165,13,ratio,-0.2079,0.094,0.0785,83.6,-0.8585,0.4426,1.3011,-0.1733,0.5167,-1.6081,0.6584,2.2666,4,True,0.0346,1.742,True
CD008176,38,ratio,-0.0488,0.0761,0,0,-0.2032,0.1057,0.3089,-0.1137,1.1889,-2.072,2.3394,4.4114,2,True,0.0649,14.283,True
CD008237,6,ratio,0.4677,0.1553,0.0644,53.2,-0.3586,1.2939,1.6526,0.3636,0.5796,-0.7686,1.2926,2.0611,2,True,0.104,1.247,True
CD008349,68,difference,0.2695,0.0734,0.2229,68.4,-0.6845,1.2235,1.908,0.347,0.6023,-0.6736,1.5642,2.2378,4,True,0.0776,1.173,True
CD008469,11,ratio,0.0199,0.3831,0,0,-0.8466,0.8864,1.7331,-0.0863,1.3432,-3.2331,2.1782,5.4112,3,True,0.1062,3.122,True
CD008493,10,ratio,-0.1007,0.0849,0.0299,53.4,-0.5448,0.3434,0.8882,-0.1197,0.4289,-1.0612,0.6295,1.6907,2,True,0.019,1.903,True
CD008552,5,ratio,0.2392,0.3184,0.2673,63.6,-1.6933,2.1717,3.865,0.2158,0.7703,-1.0984,1.602,2.7004,3,True,0.0233,0.699,True
CD008564,12,ratio,-0.1066,0.0865,0.0007,0.7,-0.3076,0.0945,0.4021,-0.075,0.4842,-0.954,0.9402,1.8942,2,True,0.0315,4.71,True
CD008628,9,ratio,0.1709,0.1825,0,0,-0.2606,0.6025,0.8631,0.1976,0.9373,-1.4199,2.2233,3.6432,2,False,0.0267,4.221,True
CD008709,31,ratio,-0.3898,0.1785,0,0,-0.7549,-0.0248,0.7301,-0.0871,1.5201,-2.89,2.5124,5.4024,2,False,0.3027,7.4,True
CD008858,63,ratio,0.7621,0.1005,0.3548,96.3,-0.4458,1.9701,2.4158,0.7937,0.9161,-0.7802,2.466,3.2462,7,True,0.0316,1.344,True
CD008879,8,ratio,-0.2404,0.1222,0,0,-0.5393,0.0585,0.5978,-0.201,0.5794,-1.0783,1.3241,2.4025,2,True,0.0393,4.019,True
CD009022,9,ratio,1.0835,0.396,0,0,0.147,2.02,1.8729,0.7209,1.6197,-2.5615,3.5031,6.0646,2,False,0.3626,3.238,True
CD009102,5,ratio,-0.3651,0.226,0.1144,57.1,-1.6595,0.9293,2.5889,-0.3845,0.704,-1.9327,1.2452,3.1779,2,False,0.0194,1.228,True
CD009235,31,ratio,-0.0647,0.0688,0,0,-0.2053,0.0759,0.2813,-0.1464,0.5542,-1.0688,0.8172,1.886,2,True,0.0817,6.705,True
CD009252,14,ratio,0.1694,0.1935,0.1747,42.3,-0.8341,1.1729,2.007,0.1396,0.8062,-1.5687,1.4317,3.0003,3,False,0.0298,1.495,True
CD009298,11,ratio,-0.0633,0.0648,0.0046,9.7,-0.2753,0.1487,0.424,-0.0721,0.4414,-0.9288,0.7342,1.6631,2,False,0.0088,3.922,True
CD009362,27,ratio,-0.9545,0.1772,0.0607,7.5,-1.5796,-0.3294,1.2503,-0.88,1.3909,-3.5804,2.0387,5.6192,3,False,0.0745,4.494,True
CD009417,5,ratio,0.1087,0.159,0.0438,33.7,-0.7276,0.945,1.6726,0.0333,0.5761,-1.2543,1.0932,2.3475,2,False,0.0754,1.404,True
CD009508,10,ratio,0.8005,0.3495,0.5647,59.8,-1.1107,2.7116,3.8223,0.5534,1.0158,-1.3512,2.6412,3.9924,3,False,0.247,1.045,True
CD009531,8,ratio,0.1872,0.1247,0,0,-0.1179,0.4922,0.6101,0.1202,0.521,-1.2299,0.9928,2.2227,2,True,0.0669,3.643,True
CD009535,9,ratio,-0.2262,0.0878,0.0466,83.7,-0.7771,0.3247,1.1018,-0.1636,0.4654,-1.0018,1.083,2.0848,3,True,0.0626,1.892,True
CD009609,8,ratio,-0.5905,0.1806,0.0877,42.0,-1.4392,0.2583,1.6975,-0.4823,0.777,-1.8734,1.3908,3.2642,2,True,0.1082,1.923,True
CD009679,24,ratio,-0.0291,0.2478,0.4996,50.8,-1.5825,1.5242,3.1067,0.0864,1.4511,-2.8024,2.9622,5.7646,3,False,0.1155,1.856,True
CD009730,10,ratio,-0.0391,0.3659,0.1151,8.4,-1.1898,1.1115,2.3013,0.034,1.6312,-2.8616,3.0113,5.8728,3,False,0.0731,2.552,True
CD009749,25,ratio,0.0594,0.1031,0,0,-0.154,0.2727,0.4267,0.0379,0.9049,-1.9544,1.888,3.8424,2,False,0.0215,9.005,True
CD009788,5,ratio,-0.388,0.1569,0.0116,6.0,-0.9938,0.2177,1.2116,-0.4242,0.8411,-1.8965,1.168,3.0646,2,True,0.0362,2.529,True
CD010001,25,ratio,0.3713,0.0784,0.0295,21.3,-0.0192,0.7618,0.781,0.3438,0.4901,-0.6126,1.2972,1.9098,2,False,0.0275,2.445,True
CD010145,9,ratio,1.2174,0.3785,0,0,0.3223,2.1124,1.7901,1.0731,1.6965,-2.0219,4.5823,6.6042,1,False,0.1443,3.689,False
CD010189,6,ratio,0.0966,0.1117,0.0237,33.7,-0.4313,0.6245,1.0559,0.0816,0.4553,-0.7693,1.0824,1.8517,2,True,0.015,1.754,True
CD010216,7,ratio,-0.0746,0.1666,0,0,-0.5029,0.3537,0.8566,-0.1177,0.8505,-1.6096,1.4855,3.0951,2,True,0.0432,3.613,True
CD010290,7,ratio,0.3627,0.3053,0,0,-0.422,1.1474,1.5694,0.1493,1.0197,-1.8361,2.0166,3.8527,2,False,0.2134,2.455,True
CD010779,5,difference,0.0629,0.1651,0.0298,21.8,-0.6975,0.8233,1.5208,0.0456,0.5181,-1.0115,0.9792,1.9907,2,True,0.0172,1.309,True
CD010856,12,difference,0.983,0.2246,0.55,98.4,-0.7435,2.7096,3.4531,0.8441,0.8068,-0.5126,2.4775,2.9901,5,True,0.1389,0.866,True
CD010966,67,ratio,-0.2072,0.0762,0,0,-0.3594,-0.0551,0.3044,-0.2125,0.9728,-2.0859,1.9649,4.0507,3,False,0.0053,13.309,True
CD011039,5,ratio,-0.2753,0.2775,0.2468,77.0,-2.0862,1.5356,3.6218,-0.2513,0.6784,-1.828,0.902,2.73,3,True,0.024,0.754,True
CD011044,26,ratio,0.5725,0.0937,0.0716,37.1,-0.0128,1.1578,1.1707,0.5454,0.5541,-0.4219,1.7737,2.1956,3,False,0.0271,1.875,True
CD011120,9,ratio,0.1035,0.1245,0,0,-0.1909,0.3979,0.5887,0.0029,0.5894,-1.2405,1.0986,2.3391,2,True,0.1006,3.973,True
CD011197,6,ratio,0.2627,0.3672,0,0,-0.7569,1.2822,2.0391,0.1979,1.4389,-2.7994,2.5983,5.3976,2,False,0.0648,2.647,True
CD011204,13,ratio,0.4369,0.1051,0.0895,68.4,-0.261,1.1347,1.3957,0.3749,0.4711,-0.4342,1.0972,1.5314,3,True,0.062,1.097,True
CD011381,46,ratio,0.1924,0.0941,0.2234,68.4,-0.7788,1.1636,1.9424,0.2199,0.5589,-0.6882,1.5809,2.2692,5,False,0.0275,1.168,True
CD011535,38,ratio,3.292,0.1541,0.2172,29.2,2.2965,4.2876,1.9912,3.1337,1.3381,0.2474,5.309,5.0616,2,False,0.1584,2.542,True
CD011600,5,ratio,0.4633,0.0894,0,0,0.1787,0.7479,0.5692,0.3067,0.5632,-1.2815,1.0795,2.361,1,True,0.1566,4.148,False
CD011626,11,ratio,0.5696,0.3561,0.3305,30.0,-0.9601,2.0993,3.0594,0.4551,1.692,-2.8942,3.592,6.4862,3,False,0.1145,2.12,True
CD011627,8,ratio,-0.4069,0.3759,0.6937,68.8,-2.6429,1.829,4.4719,-0.2732,1.0092,-2.264,1.5927,3.8567,3,False,0.1337,0.862,True
CD011670,7,ratio,-0.0183,0.3602,0.3688,45.2,-1.8333,1.7967,3.63,-0.0742,0.8547,-1.5401,1.5091,3.0492,2,True,0.0559,0.84,True
CD011671,17,ratio,-0.2485,0.0574,0.0132,25.3,-0.5219,0.0249,0.5468,-0.2017,0.3424,-0.7609,0.3801,1.1409,2,True,0.0469,2.087,True
CD011689,31,ratio,1.3332,0.1273,0.288,86.6,0.2052,2.4611,2.2559,1.3881,1.0443,-0.1812,3.1776,3.3588,4,True,0.0549,1.489,True
CD011762,29,ratio,-0.0351,0.126,0.0417,10.3,-0.5275,0.4572,0.9847,-0.1958,0.9105,-1.807,1.7252,3.5322,3,True,0.1607,3.587,True
CD011778,38,difference,0.4376,0.0753,0.1838,97.4,-0.4453,1.3204,1.7658,0.3945,0.5014,-0.4131,1.4933,1.9064,7,False,0.0431,1.08,True
CD011793,13,ratio,-0.1285,0.2747,0,0,-0.7332,0.4762,1.2094,-0.1035,1.3136,-2.8434,2.2699,5.1133,3,True,0.025,4.228,True
CD011866,28,ratio,-0.1932,0.0525,0.0154,25.5,-0.4704,0.0841,0.5545,-0.2187,0.3879,-0.9316,0.464,1.3957,2,True,0.0255,2.517,True
CD011885,7,ratio,0.2229,0.2449,0.1411,42.6,-0.9297,1.3756,2.3053,0.2107,0.9103,-1.8937,1.9702,3.8639,3,False,0.0122,1.676,True
CD012067,38,ratio,0.6381,0.1924,1.0609,94.0,-1.487,2.7632,4.2502,0.3936,1.2754,-1.7538,3.5538,5.3076,6,True,0.2445,1.249,True
CD012079,52,ratio,0.4463,0.1873,0.7012,48.9,-1.2772,2.1697,3.4469,0.3708,1.9594,-3.1617,4.8138,7.9755,5,False,0.0755,2.314,True
CD012170,8,difference,-2.0445,1.6981,14.5461,93.9,-12.2601,8.1711,20.4312,-1.7167,3.9878,-8.5612,6.6454,15.2066,3,False,0.3278,0.744,True
CD012178,5,ratio,-0.0913,0.3709,0,0,-1.2717,1.0891,2.3608,-0.1802,0.9608,-1.9516,1.8665,3.8181,2,False,0.0889,1.617,True
CD012186,105,ratio,0.2843,0.0655,0.1822,58.1,-0.5721,1.1407,1.7128,0.3368,0.8029,-1.443,1.7244,3.1675,7,False,0.0525,1.849,True
CD012268,21,difference,-0.1513,0.2013,0.1552,45.7,-1.0772,0.7747,1.8519,-0.2722,1.3854,-2.8951,2.369,5.264,3,False,0.1209,2.842,True
CD012445,5,difference,-0.0912,0.2488,0.1929,64.4,-1.6974,1.5151,3.2125,-0.0336,0.6742,-1.2817,1.186,2.4676,2,True,0.0576,0.768,True
CD012503,17,ratio,-0.1657,0.0743,0.0016,0.8,-0.3451,0.0138,0.3588,-0.2592,0.9112,-2.1402,1.338,3.4782,3,False,0.0935,9.694,True
CD012570,10,ratio,-0.0077,0.0409,0,0,-0.1019,0.0865,0.1885,-0.0537,0.2597,-0.7904,0.2794,1.0698,1,True,0.0459,5.676,False
CD012586,42,ratio,-0.0578,0.0314,0,0,-0.1212,0.0057,0.1269,-0.0622,0.2844,-0.6148,0.5025,1.1173,2,True,0.0044,8.804,True
CD012623,9,ratio,0.0571,0.0339,0.0024,25.9,-0.0841,0.1984,0.2825,0.059,0.265,-0.2471,0.5746,0.8217,1,True,0.0019,2.909,False
CD012635,6,ratio,-0.0308,0.1045,0.0169,28.0,-0.4938,0.4321,0.9259,-0.0262,0.5445,-0.9775,0.9361,1.9136,1,True,0.0046,2.067,False
CD012693,8,ratio,-0.7774,0.2691,0.1469,28.7,-1.9234,0.3687,2.2921,-0.4676,1.2065,-2.7382,1.9264,4.6646,2,False,0.3098,2.035,True
CD012712,20,ratio,-0.819,0.0682,0,0,-0.9623,-0.6756,0.2867,-0.7862,0.5639,-1.9013,0.2224,2.1237,2,True,0.0327,7.407,True
CD012718,5,ratio,0.4882,0.1164,0.0559,83.6,-0.3503,1.3267,1.677,0.3603,0.5849,-1.1354,1.0358,2.1712,2,True,0.128,1.295,True
