review_id,k,scale,dl_theta,dl_se,dl_tau2,dl_I2,dl_pi_lo,dl_pi_hi,dl_pi_width,dp_theta,dp_sd,dp_ci_lo,dp_ci_hi,dp_width,dp_n_clusters,dp_bimodal,theta_shift,width_ratio,dp_finds_subgroups
CD012850,5,ratio,-0.0373,0.1135,0.0069,9.5,-0.4853,0.4107,0.896,-0.0403,0.6658,-1.4149,1.5932,3.0081,1,True,0.003,3.357,False
CD012891,13,ratio,-0.597,0.1643,0.2034,74.9,-1.6533,0.4594,2.1127,-0.4887,0.5812,-1.515,0.6278,2.1428,3,True,0.1083,1.014,True
CD012905,12,ratio,-0.3734,0.1229,0.063,42.3,-0.9961,0.2493,1.2454,-0.4316,0.5444,-1.4153,0.7595,2.1748,3,False,0.0582,1.746,True
CD012925,6,ratio,-0.135,0.1044,0.0469,79.7,-0.8023,0.5323,1.3346,-0.123,0.4169,-0.9901,0.4203,1.4104,3,True,0.012,1.057,True
CD012942,36,ratio,0.0284,0.0506,0.0432,51.7,-0.4063,0.4631,0.8694,0.0633,0.361,-0.6159,0.5788,1.1947,3,False,0.0349,1.374,True
CD012993,13,ratio,0.1398,0.1672,0.11,32.3,-0.6776,0.9573,1.6348,0.1045,0.6681,-1.1187,1.3672,2.4859,3,False,0.0354,1.521,True
CD013042,13,ratio,0.0774,0.0451,0.0093,48.3,-0.1572,0.3121,0.4693,0.0835,0.4126,-0.7934,1.0695,1.863,2,True,0.0061,3.97,True
CD013051,7,ratio,0.6274,0.1981,0.2259,90.1,-0.6962,1.951,2.6472,0.4146,0.5841,-1.1913,1.1151,2.3064,2,True,0.2128,0.871,True
CD013052,5,ratio,0.0185,0.0301,0,0,-0.0773,0.1142,0.1915,-0.011,0.3134,-0.7588,0.5381,1.2969,1,True,0.0295,6.772,False
CD013054,8,ratio,-0.2663,0.0504,0.0084,47.4,-0.5221,-0.0104,0.5117,-0.2836,0.2725,-0.7462,0.2533,0.9995,2,True,0.0174,1.953,True
CD013059,5,ratio,1.2367,0.5403,0,0,-0.4829,2.9563,3.4392,0.5398,1.5682,-2.7387,3.4393,6.1779,2,False,0.6969,1.796,True
CD013071,16,ratio,-0.2997,0.1765,0,0,-0.6783,0.0789,0.7572,-0.1752,1.1963,-2.3708,2.4058,4.7766,2,True,0.1245,6.308,True
CD013105,5,ratio,-0.7443,0.4563,0.4552,49.3,-3.3364,1.8477,5.1841,-0.4542,0.9133,-2.1909,1.4497,3.6405,2,False,0.2902,0.702,True
CD013197,64,ratio,-0.1503,0.1882,1.2938,69.2,-2.4549,2.1544,4.6093,-0.0023,1.3793,-2.4554,2.7724,5.2278,6,True,0.148,1.134,True
CD013232,121,ratio,0.0314,0.0731,0,0,-0.1132,0.1761,0.2893,0.0819,0.9927,-1.6041,2.1985,3.8027,3,False,0.0505,13.144,True
CD013255,9,ratio,0.8126,0.1435,0.1356,80.6,-0.1218,1.7471,1.8689,0.6592,0.6068,-0.7253,1.4774,2.2027,3,True,0.1534,1.179,True
CD013278,12,ratio,0.1834,0.1159,0,0,-0.0749,0.4417,0.5166,0.0821,0.7018,-1.3164,1.5078,2.8242,2,False,0.1013,5.467,True
CD013295,66,ratio,-0.3585,0.0894,0.206,52.3,-1.2825,0.5655,1.8481,-0.3647,0.7216,-1.6846,0.9488,2.6334,4,False,0.0062,1.425,True
CD013332,10,ratio,-0.4722,0.1528,0.0966,46.9,-1.2707,0.3263,1.597,-0.4463,0.5384,-1.4784,0.5227,2.001,3,False,0.0259,1.253,True
CD013342,8,ratio,0.3506,0.1659,0.0826,48.4,-0.4614,1.1627,1.6241,0.3383,0.5941,-0.8388,1.6298,2.4686,2,False,0.0123,1.52,True
CD013344,6,ratio,0.5704,0.3796,0,0,-0.4836,1.6244,2.108,0.3861,1.2022,-1.999,2.4949,4.494,2,True,0.1843,2.132,True
CD013353,6,difference,-2.1839,0.7512,2.4296,73.9,-6.9879,2.6202,9.608,-1.6302,1.46,-4.1696,1.1578,5.3275,2,False,0.5536,0.554,True
CD013358,6,ratio,0.368,0.3136,0.4363,78.6,-1.6622,2.3982,4.0604,0.1776,0.7778,-1.21,1.7555,2.9655,2,False,0.1904,0.73,True
CD013366,7,ratio,-0.1701,0.239,0.0081,1.3,-0.8264,0.4863,1.3128,-0.302,1.0845,-2.3238,1.5873,3.9111,2,True,0.1319,2.979,True
CD013396,16,ratio,-0.1489,0.2152,0.2353,40.6,-1.2871,0.9894,2.2765,-0.1042,1.1188,-2.2092,1.9299,4.1391,4,False,0.0447,1.818,True
CD013408,5,ratio,-0.4448,0.1681,0.0483,34.9,-1.3251,0.4355,1.7606,-0.3754,0.5545,-1.2078,0.7176,1.9254,2,True,0.0694,1.094,True
CD013414,15,ratio,0.6069,0.1648,0.1791,54.7,-0.3742,1.5879,1.9621,0.5007,0.6389,-0.7706,1.6921,2.4627,3,False,0.1062,1.255,True
CD013421,15,ratio,-0.7669,0.1361,0.1345,60.4,-1.612,0.0783,1.6903,-0.6833,0.5649,-1.6644,0.6507,2.3151,3,False,0.0836,1.37,True
CD013425,21,ratio,0.6876,0.1113,0,0,0.4546,0.9206,0.466,0.6157,0.7518,-0.726,2.0043,2.7303,2,False,0.0719,5.859,True
CD013445,39,ratio,0.1118,0.0203,0.0068,57.2,-0.0604,0.284,0.3444,0.1116,0.2506,-0.142,0.5194,0.6614,3,True,0.0002,1.921,True
CD013456,12,ratio,0.3555,0.1385,0.0369,17.6,-0.1722,0.8831,1.0552,0.2379,0.7942,-1.3633,1.6673,3.0306,3,False,0.1175,2.872,True
CD013462,17,ratio,0.299,0.2918,0.7111,62.2,-1.6029,2.2009,3.8038,0.2468,1.1293,-1.8496,2.6268,4.4764,4,False,0.0522,1.177,True
CD013474,6,ratio,-0.0732,0.1308,0.0504,64.0,-0.7947,0.6483,1.4431,-0.085,0.4997,-1.1631,0.6602,1.8233,3,True,0.0118,1.263,True
CD013539,29,ratio,0.0021,0.0614,0,0,-0.124,0.1281,0.2521,-0.0034,0.6823,-1.3061,1.3656,2.6717,2,False,0.0055,10.599,True
CD013541,8,ratio,-0.1637,0.2126,0,0,-0.6838,0.3564,1.0402,-0.0265,0.9009,-1.7786,1.992,3.7705,2,False,0.1371,3.625,True
CD013561,5,ratio,0.2108,0.2538,0.1155,36.6,-1.1391,1.5607,2.6998,0.1702,0.6945,-1.2458,1.5586,2.8045,2,False,0.0406,1.039,True
CD013590,5,ratio,0.4638,0.3232,0,0,-0.5649,1.4925,2.0574,0.2536,1.5421,-2.6361,2.8579,5.494,2,True,0.2102,2.67,True
CD013591,13,difference,5.4592,1.8464,15.7784,91.0,-4.182,15.1003,19.2823,-1.8038,43.1805,-86.4767,71.3585,157.8351,4,False,7.2629,8.185,True
CD013614,15,ratio,1.0759,0.1164,0.1341,80.0,0.2457,1.906,1.6603,1.023,0.4995,-0.0331,1.719,1.7521,3,True,0.0529,1.055,True
CD013643,6,ratio,1.3222,0.4474,0.5311,57.5,-1.0521,3.6965,4.7486,0.96,1.2569,-1.8723,3.3522,5.2245,2,False,0.3622,1.1,True
CD013672,7,ratio,0.1359,0.0795,0.0265,68.7,-0.3299,0.6018,0.9317,0.0596,0.4069,-1.034,0.75,1.784,2,True,0.0764,1.915,True
CD013715,7,ratio,0.5389,0.1949,0.126,55.1,-0.5019,1.5798,2.0817,0.4434,0.6849,-1.0298,1.729,2.7588,2,True,0.0955,1.325,True
CD013726,12,ratio,-0.1767,0.2791,0.5466,69.0,-1.9376,1.5841,3.5217,-0.1669,1.0212,-2.8324,1.571,4.4033,4,False,0.0098,1.25,True
CD013748,8,ratio,-0.2621,0.1268,0,0,-0.5725,0.0482,0.6207,-0.2053,0.5522,-1.1478,1.1415,2.2893,2,True,0.0569,3.688,True
CD013757,6,ratio,-0.7176,0.2773,0.178,53.6,-2.1196,0.6843,2.8039,-0.5326,0.9927,-2.3794,1.5064,3.8858,2,True,0.1851,1.386,True
CD013763,21,ratio,-0.7568,0.1266,0.0459,14.3,-1.2777,-0.2358,1.0419,-0.7549,0.6875,-2.0309,0.6581,2.689,2,True,0.0019,2.581,True
CD013773,7,ratio,-0.1956,0.0647,0,0,-0.3619,-0.0294,0.3326,-0.1906,0.3602,-0.8299,0.4071,1.237,1,True,0.0051,3.72,False
CD013781,14,ratio,-0.4986,0.18,0.02,4.2,-0.9972,0.0001,0.9974,-0.3857,1.1392,-2.3652,1.892,4.2571,3,False,0.1129,4.268,True
CD013789,38,difference,-0.0884,0.0806,0.0837,41.9,-0.6973,0.5206,1.2179,-0.2093,0.7302,-1.6863,0.9972,2.6835,3,True,0.1209,2.203,True
CD013800,48,ratio,-0.1472,0.0556,0.107,98.8,-0.8152,0.5207,1.336,-0.1127,0.3648,-0.9248,0.6589,1.5837,11,False,0.0345,1.185,True
CD013821,22,ratio,-0.2212,0.1249,0.2492,91.0,-1.2946,0.8522,2.1468,-0.2136,0.5194,-1.1399,0.7146,1.8545,4,True,0.0076,0.864,True
CD013822,15,ratio,0.3589,0.0561,0.0291,94.5,-0.0288,0.7466,0.7754,0.5194,0.6814,-0.3349,1.8987,2.2336,5,True,0.1606,2.881,True
CD013827,14,ratio,-0.2233,0.2059,0.0834,14.4,-0.996,0.5495,1.5456,-0.2432,0.89,-1.8381,1.3453,3.1834,3,False,0.02,2.06,True
CD013830,7,ratio,-0.33,0.1753,0,0,-0.7807,0.1206,0.9014,-0.3676,1.4555,-3.0048,2.585,5.5898,2,False,0.0376,6.202,True
CD013834,8,difference,0.0319,0.213,0.2173,61.2,-1.2221,1.2859,2.508,-0.007,0.6295,-1.2006,1.3549,2.5554,3,False,0.0389,1.019,True
CD013844,9,ratio,0.3658,0.2651,0,0,-0.2612,0.9927,1.2539,0.2723,1.1122,-1.8755,2.4693,4.3448,3,False,0.0934,3.465,True
CD013875,9,ratio,0.7962,0.198,0.0833,24.0,-0.0316,1.6239,1.6555,0.6687,0.6713,-0.8826,1.9238,2.8064,2,False,0.1275,1.695,True
CD014040,14,ratio,0.1242,0.0395,0.0135,76.5,-0.1429,0.3914,0.5343,0.1456,0.2682,-0.2595,0.653,0.9125,3,True,0.0214,1.708,True
CD014089,6,ratio,0.4518,0.2114,0,0,-0.1352,1.0388,1.174,0.2293,0.805,-1.3489,1.677,3.0259,2,True,0.2225,2.577,True
CD014145,6,ratio,-0.3455,0.399,0.2127,22.0,-2.0387,1.3476,3.3863,-0.3998,1.2472,-2.6411,1.9751,4.6162,2,False,0.0542,1.363,True
CD014300,9,ratio,-0.0843,0.2249,0.2909,83.0,-1.4661,1.2974,2.7634,-0.2315,0.7081,-1.6606,1.2514,2.912,4,False,0.1471,1.054,True
CD014428,6,difference,-13.8595,2.9159,36.1601,89.8,-32.4144,4.6955,37.11,-10.0446,7.2693,-19.4574,4.5128,23.9702,2,True,3.8149,0.646,True
CD014541,5,ratio,0.7116,0.1824,0.0377,22.6,-0.1365,1.5597,1.6962,0.5012,0.6788,-1.2916,1.4265,2.7182,2,False,0.2104,1.602,True
CD014544,12,ratio,-0.0016,0.1719,0.0768,26.6,-0.7282,0.725,1.4532,0.0285,1.1429,-2.0478,2.1915,4.2393,3,False,0.0301,2.917,True
CD014585,12,ratio,-0.0548,0.0624,0.0188,71.5,-0.3904,0.2807,0.6711,-0.0096,0.4219,-0.7553,0.8913,1.6466,3,False,0.0452,2.454,True
CD014594,7,ratio,1.2091,0.1435,0.0918,69.4,0.3475,2.0707,1.7233,1.0201,0.6387,-0.832,1.8877,2.7197,2,True,0.189,1.578,True
CD014624,38,ratio,0.164,0.0408,0.0025,3.9,0.0337,0.2944,0.2606,0.1164,0.4663,-0.6747,1.1522,1.8269,2,True,0.0476,7.009,True
CD014666,6,ratio,-0.0429,0.188,0.1265,79.5,-1.1598,1.074,2.2338,-0.1315,0.6316,-1.557,0.8986,2.4556,3,True,0.0886,1.099,True
CD014678,10,ratio,-0.1741,0.0738,0.0094,18.7,-0.455,0.1068,0.5618,-0.1671,0.4689,-0.8875,0.6156,1.5031,2,True,0.007,2.675,True
CD014713,5,ratio,-0.0066,0.1779,0.068,48.7,-1.0111,0.998,2.0091,-0.1009,0.6032,-1.5053,1.2761,2.7814,2,True,0.0943,1.384,True
CD014722,6,ratio,-0.4306,0.1323,0.0225,21.1,-0.9862,0.125,1.1112,-0.3412,0.5072,-1.2277,1.0075,2.2352,2,False,0.0894,2.012,True
CD014741,13,ratio,0.1146,0.0493,0.01,42.4,-0.1306,0.3598,0.4904,0.0571,0.4199,-1.1347,0.8288,1.9635,2,True,0.0575,4.004,True
CD014758,22,difference,0.1776,0.0319,0.0116,60.3,-0.0569,0.4121,0.469,0.1708,0.2627,-0.1449,0.6359,0.7808,3,True,0.0068,1.665,True
CD014762,7,ratio,0.0794,0.1042,0.0258,46.4,-0.413,0.5718,0.9848,0.043,0.523,-1.1183,1.0698,2.1881,2,True,0.0364,2.222,True
CD014763,9,ratio,-1.8007,0.2845,0,0,-2.4736,-1.1279,1.3457,-1.5257,1.0541,-3.4751,0.3976,3.8726,1,False,0.2751,2.878,False
CD014769,27,ratio,-0.1468,0.0665,0.0053,4.4,-0.3493,0.0558,0.4051,-0.1098,0.5789,-1.198,1.1128,2.3108,2,False,0.037,5.705,True
CD014792,11,ratio,-0.4023,0.2821,0,0,-1.0405,0.2358,1.2763,-0.2091,1.274,-2.3975,2.5071,4.9045,2,False,0.1932,3.843,True
CD014803,5,ratio,-0.0662,0.3611,0,0,-1.2155,1.0831,2.2986,-0.1332,1.0395,-2.4442,1.7628,4.207,2,False,0.067,1.83,True
CD014820,17,ratio,-0.0282,0.0639,0.0106,18.1,-0.287,0.2305,0.5175,-0.1104,0.466,-1.0428,0.7279,1.7707,2,True,0.0822,3.421,True
CD014833,5,ratio,0.225,0.1232,0.0399,59.8,-0.5218,0.9719,1.4937,0.1837,0.533,-1.0924,1.3738,2.4662,2,True,0.0414,1.651,True
CD014844,6,ratio,-0.2497,0.2495,0.1509,48.2,-1.5315,1.0321,2.5636,-0.3109,0.731,-1.6713,1.0417,2.7129,2,True,0.0612,1.058,True
CD014845,20,difference,-0.0593,0.0135,0.0004,11.6,-0.1089,-0.0096,0.0993,-0.0683,0.2945,-0.4708,0.3261,0.7969,1,True,0.009,8.025,False
CD014855,7,ratio,0.0738,0.3435,0.3961,51.2,-1.7695,1.917,3.6864,0.0177,0.9586,-1.7047,1.6832,3.3879,3,False,0.056,0.919,True
CD014869,8,ratio,-0.0137,0.0342,0.0027,44.0,-0.1654,0.1381,0.3035,-0.057,0.3315,-0.8447,0.3887,1.2334,2,True,0.0434,4.065,True
CD014871,8,difference,0.1317,0.0405,0.0072,56.8,-0.099,0.3623,0.4613,0.0885,0.4064,-1.1531,0.5425,1.6956,2,True,0.0431,3.676,True
CD014872,13,ratio,1.1036,0.1301,0.0816,39.3,0.4126,1.7945,1.3819,0.9873,0.5893,-0.3654,1.8944,2.2597,2,True,0.1162,1.635,True
CD014889,5,ratio,-0.7803,0.2666,0,0,-1.6287,0.0682,1.6969,-0.6395,0.8454,-1.9989,1.4576,3.4564,2,True,0.1408,2.037,True
CD014914,16,ratio,0.2892,0.0748,0.0292,44.2,-0.1108,0.6891,0.7999,0.2817,0.4125,-0.5028,1.0452,1.548,2,True,0.0074,1.935,True
CD014932,7,difference,-1.082,0.6707,1.9648,69.7,-5.0764,2.9124,7.9888,-0.4782,1.5535,-3.5129,2.5873,6.1001,3,False,0.6038,0.764,True
CD014937,66,ratio,-0.2594,0.0611,0.0991,70.2,-0.9002,0.3814,1.2815,-0.3289,0.6575,-1.6452,0.7956,2.4407,5,True,0.0695,1.905,True
CD014959,5,ratio,-0.5553,0.3954,0.4749,78.0,-3.0838,1.9733,5.057,-0.2552,0.7315,-1.8071,0.8575,2.6646,2,True,0.3,0.527,True
CD014964,54,ratio,0.3172,0.0376,0.0461,74.5,-0.1202,0.7547,0.8749,0.3288,0.3819,-0.2747,1.0386,1.3133,5,True,0.0116,1.501,True
CD014965,8,ratio,1.2666,0.2696,0,0,0.607,1.9262,1.3191,0.7871,1.2428,-1.559,3.2201,4.7791,2,False,0.4795,3.623,True
CD014966,28,ratio,-0.0895,0.0485,0.0386,91.1,-0.5053,0.3262,0.8316,-0.1155,0.439,-0.8729,0.5902,1.463,6,True,0.026,1.759,True
CD014967,5,ratio,0.3607,0.2869,0,0,-0.5525,1.2738,1.8263,0.2057,0.9983,-1.4914,2.3239,3.8153,2,False,0.1549,2.089,True
CD015003,10,ratio,0.7143,0.3328,0.2923,33.4,-0.7497,2.1782,2.9279,0.5883,1.5215,-2.4084,3.5343,5.9427,3,False,0.1259,2.03,True
CD015014,24,ratio,0.0342,0.0579,0,0,-0.0858,0.1542,0.24,0.0439,0.454,-0.7845,0.9201,1.7046,2,True,0.0097,7.103,True
CD015038,9,ratio,-1.3964,0.518,0.3964,16.5,-3.3242,0.5314,3.8556,-1.0129,1.6824,-4.2711,2.1652,6.4363,3,False,0.3835,1.669,True
CD015040,7,difference,-0.4327,0.2609,0.2603,62.8,-1.9059,1.0405,2.9464,-0.3295,0.7731,-1.7602,1.0355,2.7956,3,False,0.1032,0.949,True
CD015042,7,ratio,-0.0202,0.0215,0,0,-0.0754,0.0351,0.1105,-0.0631,0.2891,-0.9706,0.299,1.2696,1,True,0.043,11.492,False
CD015083,67,difference,-0.1358,0.0301,0.0303,59.4,-0.4883,0.2167,0.7051,-0.1263,0.3395,-0.6138,1.0254,1.6392,4,True,0.0095,2.325,True
CD015087,7,ratio,-0.3686,0.2038,0.0917,37.9,-1.3069,0.5696,1.8765,-0.3307,0.7813,-1.9801,1.0803,3.0604,3,True,0.0379,1.631,True
CD015120,5,ratio,-0.0923,0.3611,0,0,-1.2416,1.0571,2.2987,0.0058,1.219,-2.2238,2.1988,4.4227,2,True,0.098,1.924,True
CD015122,9,ratio,-0.7887,0.2589,0.1527,26.1,-1.8971,0.3196,2.2167,-0.5834,0.8577,-2.1956,0.8526,3.0482,2,False,0.2054,1.375,True
CD015124,8,ratio,-0.7514,0.1336,0,0,-1.0782,-0.4245,0.6537,-0.5762,0.6289,-1.4937,1.0437,2.5374,2,True,0.1752,3.882,True
CD015134,6,ratio,0.1504,0.0807,0.0067,17.3,-0.1693,0.47,0.6394,0.1818,0.5405,-0.8838,1.2314,2.1151,2,True,0.0315,3.308,True
CD015140,5,ratio,-0.0917,0.1916,0.0904,55.3,-1.2264,1.043,2.2693,-0.1865,0.5919,-1.4029,0.8952,2.2981,2,False,0.0948,1.013,True
CD015192,6,ratio,0.1939,0.4943,0.3275,22.5,-1.9056,2.2934,4.1991,0.085,1.1822,-2.2617,2.1959,4.4576,2,False,0.1089,1.062,True
CD015213,12,ratio,-1.4942,0.3586,0,0,-2.2933,-0.6951,1.5982,-1.0807,1.7167,-3.9461,2.5541,6.5002,2,False,0.4136,4.067,True
CD015219,18,ratio,0.2382,0.0962,0.0844,63.8,-0.4106,0.887,1.2975,0.2179,0.4343,-0.3723,1.2944,1.6667,3,True,0.0203,1.285,True
CD015229,9,difference,-66.5402,7.0317,133.9189,39.2,-98.56,-34.5204,64.0396,-46.0724,26.8539,-86.7777,23.3959,110.1736,1,False,20.4678,1.72,False
CD015252,7,ratio,-0.121,0.0466,0,0,-0.2407,-0.0013,0.2394,-0.1535,0.4099,-0.869,0.5867,1.4557,1,False,0.0325,6.081,False
CD015254,10,ratio,-0.1347,0.0487,0.0129,63.5,-0.4194,0.1499,0.5693,-0.1458,0.2613,-0.779,0.3527,1.1317,2,True,0.0111,1.988,True
CD015255,7,ratio,-0.2971,0.1317,0.0806,81.5,-1.1016,0.5073,1.6089,-0.1958,0.5338,-1.1128,1.0101,2.1229,3,True,0.1014,1.319,True
CD015284,5,ratio,0.5278,0.2257,0.1602,70.8,-0.9345,1.9901,2.9246,0.4465,0.551,-0.5947,1.5178,2.1124,2,True,0.0812,0.722,True
CD015314,21,ratio,0.5635,0.1021,0.1108,68.1,-0.1652,1.2922,1.4574,0.5876,0.5316,-0.267,1.6178,1.8848,3,False,0.024,1.293,True
CD015326,16,difference,-0.0719,0.0183,0.0009,17.9,-0.1462,0.0023,0.1484,-0.0764,0.2621,-0.4762,0.1142,0.5903,1,True,0.0045,3.978,False
CD015328,27,difference,-0.1081,0.0498,0.0307,71.9,-0.4834,0.2672,0.7507,-0.1008,0.401,-0.8931,0.5765,1.4696,4,True,0.0073,1.958,True
CD015330,11,difference,0.0301,0.053,0,0,-0.0899,0.1501,0.24,0.0468,0.4184,-0.6688,0.7568,1.4257,1,True,0.0167,5.94,False
CD015331,48,ratio,-0.168,0.0558,0,0,-0.2803,-0.0556,0.2247,-0.1308,0.5372,-1.0592,0.8619,1.9212,3,True,0.0372,8.551,True
CD015332,5,ratio,-0.2039,0.1672,0,0,-0.7359,0.3282,1.0641,-0.1401,1.1926,-2.6145,2.0735,4.688,2,False,0.0637,4.406,True
CD015350,9,ratio,-0.3511,0.3846,0.6689,58.4,-2.4882,1.7859,4.2741,-0.3203,1.0265,-2.1195,1.9078,4.0273,3,True,0.0308,0.942,True
CD015373,5,ratio,0.2238,0.5978,0.197,10.9,-2.1458,2.5933,4.7391,0.004,1.4178,-2.5449,2.7756,5.3206,2,False,0.2198,1.123,True
CD015383,5,difference,-8.4087,2.3041,0,0,-15.7414,-1.076,14.6654,-0.9597,5.8495,-13.2571,9.7762,23.0333,2,False,7.449,1.571,True
CD015387,21,ratio,-0.2345,0.0561,0.0076,12.6,-0.4514,-0.0175,0.4339,-0.2313,0.3609,-0.8544,0.561,1.4155,2,False,0.0032,3.262,True
CD015432,8,ratio,-0.129,0.1803,0.1459,75.0,-1.1626,0.9046,2.0672,-0.1674,0.6547,-1.8386,0.7704,2.609,3,True,0.0384,1.262,True
CD015443,19,ratio,0.6762,0.1609,0.2037,51.4,-0.3347,1.6872,2.0219,0.5427,0.7837,-1.5235,1.9079,3.4314,4,False,0.1335,1.697,True
CD015448,7,difference,1.6006,1.1924,2.8437,29.9,-3.7084,6.9097,10.6181,0.1425,3.4428,-6.3287,6.3306,12.6594,3,False,1.4581,1.192,True
CD015476,15,ratio,0.1668,0.0387,0.012,64.0,-0.0842,0.4178,0.502,0.1264,0.2387,-0.278,0.3988,0.6768,2,True,0.0404,1.348,True
CD015518,12,difference,-0.3902,0.1325,0.1556,77.1,-1.3174,0.5371,1.8544,-0.3541,0.501,-1.7342,0.3678,2.1019,2,True,0.0361,1.133,True
CD015520,5,difference,-0.257,0.0828,0,0,-0.5207,0.0066,0.5272,-0.2075,0.532,-1.4612,1.1115,2.5726,1,True,0.0495,4.88,False
CD015532,11,ratio,-0.0078,0.1473,0.1123,52.6,-0.8358,0.8202,1.6559,-0.0332,0.5871,-1.1263,1.0015,2.1278,3,True,0.0254,1.285,True
CD015536,10,ratio,-0.4173,0.3531,0.4929,44.5,-2.2295,1.3949,3.6244,-0.3396,1.2601,-2.8106,1.9331,4.7437,3,False,0.0777,1.309,True
CD015584,13,ratio,0.0115,0.0116,0.0006,42.0,-0.049,0.0719,0.1209,-0.025,0.288,-0.746,0.1593,0.9052,1,True,0.0364,7.489,False
CD015588,16,ratio,-0.1581,0.0479,0.0065,21.2,-0.359,0.0428,0.4019,-0.1884,0.5556,-1.1185,0.7911,1.9096,2,True,0.0303,4.752,True
CD015636,5,ratio,-1.4275,0.1414,0,0,-1.8776,-0.9775,0.9001,-1.2332,0.6372,-1.9931,0.5838,2.5769,1,True,0.1944,2.863,False
CD015673,14,ratio,-0.1174,0.063,0,0,-0.2548,0.0199,0.2746,-0.098,0.3771,-0.8141,0.4875,1.3015,2,True,0.0195,4.739,True
CD015721,6,ratio,0.0161,0.0334,0.0019,27.6,-0.1367,0.1689,0.3056,0.0571,0.5041,-1.029,1.4927,2.5217,1,True,0.0411,8.252,False
CD015746,6,ratio,-1.6091,0.2329,0.191,66.6,-2.9841,-0.2341,2.75,-1.2617,0.8199,-2.2471,0.7983,3.0454,2,False,0.3474,1.107,True
CD015779,6,ratio,-0.9324,0.2872,0,0,-1.7298,-0.1349,1.5949,-0.6773,1.3072,-3.2934,1.6818,4.9752,2,False,0.255,3.119,True
CD015786,10,ratio,-1.3609,0.4632,0,0,-2.4291,-0.2927,2.1364,-0.8781,1.7056,-4.2404,2.2292,6.4696,2,False,0.4829,3.028,True
CD015788,8,ratio,0.1667,0.078,0.0294,70.4,-0.294,0.6274,0.9215,0.1566,0.3288,-0.4578,0.8451,1.303,3,True,0.0101,1.414,True
CD015804,8,ratio,-0.0293,0.0304,0.0003,3.2,-0.1137,0.0551,0.1688,-0.0622,0.3433,-0.9494,0.5756,1.5251,1,True,0.0329,9.034,False
CD015824,5,ratio,-0.6349,0.1284,0,0,-1.0436,-0.2261,0.8174,-0.5001,0.7659,-1.6339,1.5093,3.1432,2,True,0.1348,3.845,True
CD015849,7,ratio,-0.164,0.0708,0.0071,22.9,-0.4474,0.1194,0.5668,-0.186,1.0754,-2.1637,1.9504,4.1142,2,True,0.022,7.258,True
CD015854,5,ratio,-0.8275,0.5937,0,0,-2.7169,1.062,3.7788,-0.4667,1.5974,-3.3964,2.4357,5.8321,2,False,0.3607,1.543,True
CD015894,7,difference,-0.5632,0.1573,0.1048,62.0,-1.4883,0.3619,1.8502,-0.4986,0.4968,-1.3207,0.5003,1.821,2,False,0.0646,0.984,True
CD015932,10,ratio,-0.2841,0.0824,0.0471,94.3,-0.8196,0.2515,1.0711,-0.3036,0.343,-1.1486,0.2515,1.4001,3,True,0.0195,1.307,True
CD016031,28,ratio,-0.2507,0.2183,0,0,-0.6993,0.1979,0.8972,-0.4604,1.5875,-3.2061,2.6706,5.8767,4,False,0.2096,6.55,True
CD016064,5,ratio,0.2913,0.2999,0,0,-0.6631,1.2457,1.9088,0.323,1.2953,-2.5044,2.6608,5.1652,2,False,0.0317,2.706,True
CD016119,16,ratio,0.2936,0.1465,0.0973,33.0,-0.4455,1.0327,1.4782,0.2141,0.7081,-1.141,1.5505,2.6914,3,False,0.0794,1.821,True
CD016131,5,ratio,-0.3029,0.1605,0,0,-0.8138,0.2079,1.0217,-0.1683,0.5668,-1.2446,1.1049,2.3496,2,False,0.1347,2.3,True
CD016136,30,difference,0.9477,0.1228,0.296,78.1,-0.1948,2.0901,2.2849,0.847,0.7768,-0.48,2.4243,2.9043,5,True,0.1006,1.271,True
CD016211,5,ratio,-0.4165,0.0827,0,0,-0.6797,-0.1533,0.5264,-0.4174,0.8522,-2.097,1.3037,3.4007,2,True,0.0009,6.46,True
